"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"bigint(20)";"NO";"PRI";;"auto_increment"
"article_id";"bigint(20)";"NO";"MUL";;""
"filename";"varchar(250)";"YES";"";;""
"content_size";"varchar(30)";"YES";"";;""
"content_type";"text";"YES";"";;""
"content_id";"varchar(250)";"YES";"";;""
"content_alternative";"varchar(50)";"YES";"";;""
"disposition";"varchar(15)";"YES";"";;""
"content";"longblob";"NO";"";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
