"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"UNI";;""
"comments";"varchar(250)";"YES";"";;""
"description";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"stop_after_match";"smallint(6)";"YES";"";;""
"config_match";"longblob";"YES";"";;""
"config_change";"longblob";"YES";"";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
