"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"UNI";;""
"text0";"text";"YES";"";;""
"text1";"text";"YES";"";;""
"type_id";"smallint(6)";"NO";"MUL";;""
"system_address_id";"smallint(6)";"NO";"MUL";;""
"content_type";"varchar(250)";"YES";"";;""
"comments";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
