"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"login";"varchar(200)";"NO";"";;""
"pw";"varchar(200)";"NO";"";;""
"host";"varchar(200)";"NO";"";;""
"account_type";"varchar(20)";"NO";"";;""
"queue_id";"int(11)";"NO";"";;""
"trusted";"smallint(6)";"NO";"";;""
"imap_folder";"varchar(250)";"YES";"";;""
"comments";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
