"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"";;""
"version";"varchar(250)";"NO";"";;""
"vendor";"varchar(250)";"NO";"";;""
"install_status";"varchar(250)";"NO";"";;""
"filename";"varchar(250)";"YES";"";;""
"content_type";"varchar(250)";"YES";"";;""
"content";"longblob";"NO";"";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
