"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"UNI";;""
"group_id";"int(11)";"NO";"MUL";;""
"unlock_timeout";"int(11)";"YES";"";;""
"first_response_time";"int(11)";"YES";"";;""
"first_response_notify";"smallint(6)";"YES";"";;""
"update_time";"int(11)";"YES";"";;""
"update_notify";"smallint(6)";"YES";"";;""
"solution_time";"int(11)";"YES";"";;""
"solution_notify";"smallint(6)";"YES";"";;""
"system_address_id";"smallint(6)";"NO";"MUL";;""
"calendar_name";"varchar(100)";"YES";"";;""
"default_sign_key";"varchar(100)";"YES";"";;""
"salutation_id";"smallint(6)";"NO";"MUL";;""
"signature_id";"smallint(6)";"NO";"MUL";;""
"follow_up_id";"smallint(6)";"NO";"MUL";;""
"follow_up_lock";"smallint(6)";"NO";"";;""
"comments";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
