"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"bigint(20)";"NO";"PRI";;"auto_increment"
"name";"varchar(150)";"NO";"MUL";;""
"task_type";"varchar(150)";"NO";"MUL";;""
"last_execution_time";"datetime";"NO";"";;""
"last_worker_task_id";"bigint(20)";"YES";"";;""
"last_worker_status";"smallint(6)";"YES";"";;""
"last_worker_running_time";"int(11)";"YES";"";;""
"lock_key";"bigint(20)";"NO";"MUL";;""
"lock_time";"datetime";"YES";"";;""
"create_time";"datetime";"NO";"";;""
"change_time";"datetime";"NO";"";;""
