"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"UNI";;""
"calendar_name";"varchar(100)";"YES";"";;""
"first_response_time";"int(11)";"NO";"";;""
"first_response_notify";"smallint(6)";"YES";"";;""
"update_time";"int(11)";"NO";"";;""
"update_notify";"smallint(6)";"YES";"";;""
"solution_time";"int(11)";"NO";"";;""
"solution_notify";"smallint(6)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"";;""
"comments";"varchar(250)";"YES";"";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
