"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"smallint(6)";"NO";"PRI";;"auto_increment"
"value0";"varchar(200)";"NO";"";;""
"value1";"varchar(200)";"NO";"";;""
"value2";"varchar(200)";"YES";"";;""
"value3";"varchar(200)";"YES";"";;""
"queue_id";"int(11)";"NO";"";;""
"comments";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
