"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"int(11)";"NO";"PRI";;"auto_increment"
"start_date";"int(11)";"NO";"";;""
"stop_date";"int(11)";"NO";"";;""
"comments";"varchar(250)";"NO";"";;""
"login_message";"varchar(250)";"YES";"";;""
"show_login_message";"smallint(6)";"YES";"";;""
"notify_message";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
