"Field";"Type";"Null";"Key";"Default";"Extra"
"id";"bigint(20)";"NO";"PRI";;"auto_increment"
"name";"varchar(200)";"NO";"";;""
"history_type_id";"smallint(6)";"NO";"MUL";;""
"ticket_id";"bigint(20)";"NO";"MUL";;""
"article_id";"bigint(20)";"YES";"MUL";;""
"type_id";"smallint(6)";"NO";"MUL";;""
"queue_id";"int(11)";"NO";"MUL";;""
"owner_id";"int(11)";"NO";"MUL";;""
"priority_id";"smallint(6)";"NO";"MUL";;""
"state_id";"smallint(6)";"NO";"MUL";;""
"create_time";"datetime";"NO";"MUL";;""
"create_by";"int(11)";"NO";"MUL";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"MUL";;""
