"Field";"Type";"Null";"Key";"Default";"Extra"
"customer_id";"varchar(150)";"NO";"PRI";;""
"name";"varchar(200)";"NO";"UNI";;""
"street";"varchar(200)";"YES";"";;""
"zip";"varchar(200)";"YES";"";;""
"city";"varchar(200)";"YES";"";;""
"country";"varchar(200)";"YES";"";;""
"url";"varchar(200)";"YES";"";;""
"comments";"varchar(250)";"YES";"";;""
"valid_id";"smallint(6)";"NO";"";;""
"create_time";"datetime";"NO";"";;""
"create_by";"int(11)";"NO";"";;""
"change_time";"datetime";"NO";"";;""
"change_by";"int(11)";"NO";"";;""
